"Date","Price","Open","High","Low","Vol.","Change %"
"16-04-2026","24,196.75","24,385.20","24,400.95","24,102.80","508.02M","-0.14%"
"15-04-2026","24,231.30","24,163.80","24,280.90","24,145.80","460.33M","1.63%"
"13-04-2026","23,842.65","23,589.60","23,907.40","23,555.60","488.84M","-0.86%"
"10-04-2026","24,050.60","23,880.55","24,074.05","23,856.35","481.30M","1.16%"
"09-04-2026","23,775.10","23,909.05","23,990.75","23,682.80","466.59M","-0.93%"
"08-04-2026","23,997.35","23,855.15","24,025.15","23,828.50","639.26M","3.78%"
"07-04-2026","23,123.65","22,838.70","23,153.85","22,719.30","476.98M","0.68%"
"06-04-2026","22,968.25","22,780.30","22,998.35","22,542.95","426.42M","1.12%"
"02-04-2026","22,713.10","22,383.40","22,782.30","22,182.55","495.12M","0.15%"
"01-04-2026","22,679.40","22,899.00","22,941.30","22,618.60","517.95M","1.56%"
"30-03-2026","22,331.40","22,549.65","22,714.10","22,283.85","698.60M","-2.14%"
"27-03-2026","22,819.60","23,173.55","23,186.10","22,804.55","612.56M","-2.09%"
"25-03-2026","23,306.45","23,064.40","23,465.35","23,063.20","505.42M","1.72%"
"24-03-2026","22,912.40","22,878.45","23,057.30","22,624.20","538.10M","1.78%"
"23-03-2026","22,512.65","22,824.35","22,851.70","22,471.25","550.28M","-2.60%"
"20-03-2026","23,114.50","23,110.15","23,345.15","23,067.60","663.29M","0.49%"
"19-03-2026","23,002.15","23,197.75","23,378.70","22,930.35","550.15M","-3.26%"
"18-03-2026","23,777.80","23,632.90","23,862.25","23,618.45","382.88M","0.83%"
"17-03-2026","23,581.15","23,493.20","23,656.80","23,346.60","458.79M","0.74%"
"16-03-2026","23,408.80","23,116.10","23,502.00","22,955.25","540.29M","1.11%"
"13-03-2026","23,151.10","23,462.50","23,492.40","23,112.00","519.78M","-2.06%"
"12-03-2026","23,639.15","23,674.85","23,833.15","23,556.30","501.00M","-0.95%"
"11-03-2026","23,866.85","24,231.85","24,299.00","23,834.30","407.40M","-1.63%"
"10-03-2026","24,261.60","24,280.80","24,303.80","24,079.95","444.28M","0.97%"
"09-03-2026","24,028.05","23,868.05","24,078.15","23,697.80","526.90M","-1.73%"
"06-03-2026","24,450.45","24,656.40","24,700.90","24,415.75","433.41M","-1.27%"
"05-03-2026","24,765.90","24,615.95","24,854.20","24,529.40","504.34M","1.17%"
"04-03-2026","24,480.50","24,388.80","24,602.45","24,305.40","598.99M","-1.55%"
"02-03-2026","24,865.70","24,659.25","24,989.35","24,603.50","519.23M","-1.24%"
"27-02-2026","25,178.65","25,459.85","25,476.40","25,141.30","438.92M","-1.25%"
"26-02-2026","25,496.55","25,556.30","25,572.95","25,400.95","405.22M","0.06%"
"25-02-2026","25,482.50","25,512.60","25,652.60","25,428.20","414.21M","0.23%"
"24-02-2026","25,424.65","25,641.80","25,641.80","25,327.60","439.07M","-1.12%"
"23-02-2026","25,713.00","25,678.40","25,771.45","25,609.35","313.68M","0.55%"
"20-02-2026","25,571.25","25,406.55","25,663.55","25,379.75","296.58M","0.46%"
"19-02-2026","25,454.35","25,873.35","25,885.30","25,388.75","298.23M","-1.41%"
"18-02-2026","25,819.35","25,752.65","25,828.05","25,645.15","310.23M","0.37%"
"17-02-2026","25,725.40","25,637.95","25,764.40","25,570.30","344.12M","0.17%"
"16-02-2026","25,682.75","25,423.60","25,697.00","25,372.70","275.77M","0.83%"
"13-02-2026","25,471.10","25,571.15","25,630.35","25,444.30","453.52M","-1.30%"
"12-02-2026","25,807.20","25,906.70","25,906.70","25,752.40","419.39M","-0.57%"
"11-02-2026","25,953.85","25,997.45","26,009.40","25,899.80","331.39M","0.07%"
"10-02-2026","25,935.15","25,922.65","25,989.45","25,870.45","460.88M","0.26%"
"09-02-2026","25,867.30","25,888.70","25,922.25","25,780.90","359.39M","0.68%"
"06-02-2026","25,693.70","25,605.80","25,703.95","25,491.90","375.48M","0.20%"
"05-02-2026","25,642.80","25,755.90","25,757.65","25,579.50","343.81M","-0.52%"
"04-02-2026","25,776.00","25,675.05","25,818.55","25,563.95","429.79M","0.19%"
"03-02-2026","25,727.55","26,308.05","26,341.20","25,641.30","637.26M","2.55%"
"02-02-2026","25,088.40","24,796.50","25,108.10","24,679.40","449.22M","1.06%"
"01-02-2026","24,825.45","25,333.75","25,440.90","24,571.75","379.37M","-1.96%"
"30-01-2026","25,320.65","25,247.55","25,370.70","25,213.65","508.39M","-0.39%"
"29-01-2026","25,418.90","25,345.00","25,458.15","25,159.80","582.39M","0.30%"
"28-01-2026","25,342.75","25,258.85","25,372.10","25,187.65","574.90M","0.66%"
"27-01-2026","25,175.40","25,063.35","25,246.65","24,932.55","618.70M","0.51%"
"23-01-2026","25,048.65","25,344.60","25,347.95","25,025.30","393.94M","-0.95%"
"22-01-2026","25,289.90","25,344.15","25,435.75","25,168.50","486.40M","0.53%"
"21-01-2026","25,157.50","25,141.00","25,300.95","24,919.80","395.62M","-0.30%"
"20-01-2026","25,232.50","25,580.30","25,585.00","25,171.35","409.77M","-1.38%"
"19-01-2026","25,585.50","25,653.10","25,653.30","25,494.35","443.09M","-0.42%"
"16-01-2026","25,694.35","25,696.05","25,873.50","25,662.40","434.04M","0.11%"
"14-01-2026","25,665.60","25,648.55","25,791.75","25,603.95","393.13M","-0.26%"
"13-01-2026","25,732.30","25,897.35","25,899.80","25,603.30","339.54M","-0.22%"
"12-01-2026","25,790.25","25,669.05","25,813.15","25,473.40","275.76M","0.42%"
"09-01-2026","25,683.30","25,840.40","25,940.60","25,623.00","348.76M","-0.75%"
"08-01-2026","25,876.85","26,106.50","26,133.20","25,858.45","328.52M","-1.01%"
"07-01-2026","26,140.75","26,143.10","26,187.15","26,067.90","338.22M","-0.14%"
"06-01-2026","26,178.70","26,189.70","26,273.95","26,124.75","383.04M","-0.27%"
"05-01-2026","26,250.30","26,333.70","26,373.20","26,210.05","338.78M","-0.30%"
"02-01-2026","26,328.55","26,155.10","26,340.00","26,118.40","357.55M","0.70%"
"01-01-2026","26,146.55","26,173.30","26,197.55","26,113.40","425.63M","0.06%"
"31-12-2025","26,129.60","25,971.05","26,187.95","25,969.00","246.31M","0.74%"
"30-12-2025","25,938.85","25,940.90","25,976.75","25,878.00","396.89M","-0.01%"
"29-12-2025","25,942.10","26,063.35","26,106.80","25,920.30","234.31M","-0.38%"
"26-12-2025","26,042.30","26,121.25","26,144.20","26,008.60","142.24M","-0.38%"
"24-12-2025","26,142.10","26,170.65","26,236.40","26,123.00","188.85M","-0.13%"
"23-12-2025","26,177.15","26,205.20","26,233.55","26,119.05","216.55M","0.02%"
"22-12-2025","26,172.40","26,055.85","26,180.70","26,047.80","252.99M","0.79%"
"19-12-2025","25,966.40","25,911.50","25,993.35","25,880.45","382.93M","0.58%"
"18-12-2025","25,815.55","25,764.70","25,902.35","25,726.30","197.55M","-0.01%"
"17-12-2025","25,818.55","25,902.40","25,929.15","25,770.35","206.52M","-0.16%"
"16-12-2025","25,860.10","25,951.50","25,980.75","25,834.35","264.35M","-0.64%"
"15-12-2025","26,027.30","25,930.05","26,047.15","25,904.75","181.56M","-0.08%"
"12-12-2025","26,046.95","25,971.20","26,057.60","25,938.45","216.34M","0.57%"
"11-12-2025","25,898.55","25,771.40","25,922.80","25,693.25","206.10M","0.55%"
"10-12-2025","25,758.00","25,864.05","25,947.65","25,734.55","207.94M","-0.32%"
"09-12-2025","25,839.65","25,867.10","25,923.65","25,728.00","275.98M","-0.47%"
"08-12-2025","25,960.55","26,159.80","26,178.70","25,892.25","320.73M","-0.86%"
"05-12-2025","26,186.45","25,999.80","26,202.60","25,985.35","249.25M","0.59%"
"04-12-2025","26,033.75","25,981.85","26,098.25","25,938.95","248.10M","0.18%"
"03-12-2025","25,986.00","26,004.90","26,066.45","25,891.00","265.66M","-0.18%"
"02-12-2025","26,032.20","26,087.95","26,154.60","25,997.85","254.80M","-0.55%"
"01-12-2025","26,175.75","26,325.80","26,325.80","26,124.20","213.83M","-0.10%"
"28-11-2025","26,202.95","26,237.45","26,280.75","26,172.40","202.51M","-0.05%"
"27-11-2025","26,215.55","26,261.25","26,310.45","26,141.90","240.29M","0.04%"
"26-11-2025","26,205.30","25,842.95","26,215.15","25,842.95","275.26M","1.24%"
"25-11-2025","25,884.80","25,998.50","26,032.60","25,857.50","260.45M","-0.29%"
"24-11-2025","25,959.50","26,122.80","26,142.80","25,912.15","464.65M","-0.42%"
"21-11-2025","26,068.15","26,109.55","26,179.20","26,052.20","235.58M","-0.47%"
"20-11-2025","26,192.15","26,132.10","26,246.65","26,063.20","240.43M","0.54%"
"19-11-2025","26,052.65","25,918.10","26,074.65","25,856.20","250.11M","0.55%"
"18-11-2025","25,910.05","26,021.80","26,029.85","25,876.50","280.00M","-0.40%"
"17-11-2025","26,013.45","25,948.20","26,024.20","25,906.35","281.77M","0.40%"
"14-11-2025","25,910.05","25,767.90","25,940.20","25,740.80","518.94M","0.12%"
"13-11-2025","25,879.15","25,906.10","26,010.70","25,808.40","385.17M","0.01%"
"12-11-2025","25,875.80","25,834.30","25,934.55","25,781.15","312.59M","0.70%"
"11-11-2025","25,694.95","25,617.00","25,715.80","25,449.25","297.71M","0.47%"
"10-11-2025","25,574.35","25,503.50","25,653.45","25,503.50","243.59M","0.32%"
"07-11-2025","25,492.30","25,433.80","25,551.25","25,318.45","305.61M","-0.07%"
"06-11-2025","25,509.70","25,593.35","25,679.15","25,491.55","371.85M","-0.34%"
"04-11-2025","25,597.65","25,744.75","25,787.40","25,578.40","305.14M","-0.64%"
"03-11-2025","25,763.35","25,696.85","25,803.10","25,645.50","23.35M","0.16%"
"31-10-2025","25,722.10","25,863.80","25,953.75","25,711.20","334.38M","-0.60%"
"30-10-2025","25,877.85","25,984.40","26,032.05","25,845.25","257.37M","-0.68%"
"29-10-2025","26,053.90","25,982.00","26,097.85","25,960.30","321.88M","0.45%"
"28-10-2025","25,936.20","25,939.95","26,041.70","25,810.05","395.23M","-0.11%"
"27-10-2025","25,966.05","25,843.20","26,005.95","25,827.00","266.34M","0.66%"
"24-10-2025","25,795.15","25,935.10","25,944.15","25,718.20","284.91M","-0.37%"
"23-10-2025","25,891.40","26,057.20","26,104.20","25,862.45","448.40M","0.09%"
"21-10-2025","25,868.60","25,901.20","25,934.35","25,825.80","42.47M","0.10%"
"20-10-2025","25,843.15","25,824.60","25,926.20","25,788.50","301.13M","0.52%"
"17-10-2025","25,709.85","25,546.85","25,781.50","25,508.60","422.06M","0.49%"
"16-10-2025","25,585.30","25,394.90","25,625.40","25,376.85","372.78M","1.03%"
"15-10-2025","25,323.55","25,181.95","25,365.15","25,159.35","289.93M","0.71%"
"14-10-2025","25,145.50","25,277.55","25,310.35","25,060.55","292.13M","-0.32%"
"13-10-2025","25,227.35","25,177.30","25,267.30","25,152.30","234.29M","-0.23%"
"10-10-2025","25,285.35","25,167.65","25,330.75","25,156.85","232.94M","0.41%"
"09-10-2025","25,181.80","25,074.30","25,199.25","25,024.30","286.25M","0.54%"
"08-10-2025","25,046.15","25,079.75","25,192.50","25,008.50","227.44M","-0.25%"
"07-10-2025","25,108.30","25,085.30","25,220.90","25,076.30","287.99M","0.12%"
"06-10-2025","25,077.65","24,916.55","25,095.95","24,881.65","268.79M","0.74%"
"03-10-2025","24,894.25","24,759.55","24,904.80","24,747.55","365.85M","0.23%"
"01-10-2025","24,836.30","24,620.55","24,867.95","24,605.95","308.90M","0.92%"
"30-09-2025","24,611.10","24,691.95","24,731.80","24,587.70","303.04M","-0.10%"
"29-09-2025","24,634.90","24,728.55","24,791.30","24,606.20","394.39M","-0.08%"
"26-09-2025","24,654.70","24,818.55","24,868.60","24,629.45","291.54M","-0.95%"
"25-09-2025","24,890.85","25,034.50","25,092.70","24,878.30","342.53M","-0.66%"
"24-09-2025","25,056.90","25,108.75","25,149.85","25,027.45","244.38M","-0.45%"
"23-09-2025","25,169.50","25,209.00","25,261.90","25,084.65","299.20M","-0.13%"
"22-09-2025","25,202.35","25,238.10","25,331.70","25,151.05","254.51M","-0.49%"
"19-09-2025","25,327.05","25,410.20","25,428.75","25,286.30","380.36M","-0.38%"
"18-09-2025","25,423.60","25,441.05","25,448.95","25,329.75","272.19M","0.37%"
"17-09-2025","25,330.25","25,276.60","25,346.50","25,275.35","268.94M","0.36%"
"16-09-2025","25,239.10","25,073.60","25,261.40","25,070.45","240.12M","0.68%"
"15-09-2025","25,069.20","25,118.90","25,138.45","25,048.75","185.38M","-0.18%"
"12-09-2025","25,114.00","25,074.45","25,139.45","25,038.05","225.74M","0.43%"
"11-09-2025","25,005.50","24,945.50","25,037.30","24,940.15","224.57M","0.13%"
"10-09-2025","24,973.10","24,991.00","25,035.70","24,915.05","244.15M","0.42%"
"09-09-2025","24,868.60","24,864.10","24,891.80","24,814.00","226.92M","0.39%"
"08-09-2025","24,773.15","24,802.60","24,885.50","24,751.55","213.23M","0.13%"
"05-09-2025","24,741.00","24,818.85","24,832.35","24,621.60","210.07M","0.03%"
"04-09-2025","24,734.30","24,980.75","24,980.75","24,708.20","314.09M","0.08%"
"03-09-2025","24,715.05","24,616.50","24,737.05","24,533.20","340.28M","0.55%"
"02-09-2025","24,579.60","24,653.00","24,756.10","24,522.35","271.56M","-0.18%"
"01-09-2025","24,625.05","24,432.70","24,635.60","24,432.70","229.33M","0.81%"
"29-08-2025","24,426.85","24,466.70","24,572.45","24,404.70","325.52M","-0.30%"
"28-08-2025","24,500.90","24,695.80","24,702.65","24,481.60","326.60M","-0.85%"
"26-08-2025","24,712.05","24,899.50","24,919.65","24,689.60","750.47M","-1.02%"
"25-08-2025","24,967.75","24,949.15","25,021.55","24,894.35","213.03M","0.39%"
"22-08-2025","24,870.10","25,064.15","25,084.85","24,859.15","210.17M","-0.85%"
"21-08-2025","25,083.75","25,142.00","25,153.65","25,054.90","226.54M","0.13%"
"20-08-2025","25,050.55","24,965.80","25,088.70","24,929.70","287.05M","0.28%"
"19-08-2025","24,980.65","24,891.35","25,012.65","24,873.95","252.34M","0.42%"
"18-08-2025","24,876.95","24,938.20","25,022.00","24,852.85","363.07M","1.00%"
"14-08-2025","24,631.30","24,607.25","24,673.65","24,596.90","270.16M","0.05%"
"13-08-2025","24,619.35","24,586.20","24,664.55","24,535.25","236.01M","0.54%"
"12-08-2025","24,487.40","24,563.35","24,702.60","24,465.65","237.00M","-0.40%"
"11-08-2025","24,585.05","24,371.50","24,600.85","24,347.45","241.15M","0.91%"
"08-08-2025","24,363.30","24,544.25","24,585.50","24,337.50","312.63M","-0.95%"
"07-08-2025","24,596.15","24,464.20","24,634.20","24,344.15","616.74M","0.09%"
"06-08-2025","24,574.20","24,641.35","24,671.40","24,539.20","225.09M","-0.31%"
"05-08-2025","24,649.55","24,720.25","24,733.10","24,590.30","251.85M","-0.30%"
"04-08-2025","24,722.75","24,596.05","24,736.25","24,554.00","259.33M","0.64%"
"01-08-2025","24,565.35","24,734.90","24,784.15","24,535.05","263.36M","-0.82%"
"31-07-2025","24,768.35","24,642.25","24,956.50","24,635.00","346.30M","-0.35%"
"30-07-2025","24,855.05","24,890.40","24,902.30","24,771.95","243.89M","0.14%"
"29-07-2025","24,821.10","24,609.65","24,847.15","24,598.60","284.66M","0.57%"
"28-07-2025","24,680.90","24,782.45","24,889.20","24,646.60","262.14M","-0.63%"
"25-07-2025","24,837.00","25,010.35","25,010.35","24,806.35","278.14M","-0.90%"
"24-07-2025","25,062.10","25,243.30","25,246.25","25,018.70","338.73M","-0.63%"
"23-07-2025","25,219.90","25,139.35","25,233.50","25,085.50","271.54M","0.63%"
"22-07-2025","25,060.90","25,166.65","25,182.00","25,035.55","483.73M","-0.12%"
"21-07-2025","25,090.70","24,999.00","25,111.40","24,882.30","305.22M","0.49%"
"18-07-2025","24,968.40","25,108.55","25,144.60","24,918.65","316.98M","-0.57%"
"17-07-2025","25,111.45","25,230.75","25,238.35","25,101.00","243.41M","-0.40%"
"16-07-2025","25,212.05","25,196.60","25,255.30","25,121.05","228.82M","0.06%"
"15-07-2025","25,195.80","25,089.50","25,245.20","25,088.45","241.34M","0.45%"
"14-07-2025","25,082.30","25,149.50","25,151.10","25,001.95","259.53M","-0.27%"
"11-07-2025","25,149.85","25,255.50","25,322.45","25,129.00","249.99M","-0.81%"
"10-07-2025","25,355.25","25,511.65","25,524.05","25,340.45","219.61M","-0.47%"
"09-07-2025","25,476.10","25,514.60","25,548.70","25,424.35","239.08M","-0.18%"
"08-07-2025","25,522.50","25,427.85","25,548.05","25,424.15","210.41M","0.24%"
"07-07-2025","25,461.30","25,450.45","25,489.80","25,407.25","196.05M","0.00%"
"04-07-2025","25,461.00","25,428.85","25,470.25","25,331.65","193.51M","0.22%"
"03-07-2025","25,405.30","25,505.10","25,587.50","25,384.35","293.43M","-0.19%"
"02-07-2025","25,453.40","25,588.30","25,608.10","25,378.75","309.83M","-0.35%"
"01-07-2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"30-06-2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"27-06-2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"26-06-2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"25-06-2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"24-06-2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"23-06-2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"20-06-2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"19-06-2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"18-06-2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"17-06-2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"16-06-2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"13-06-2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"12-06-2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"11-06-2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"10-06-2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"09-06-2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06-06-2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"05-06-2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
"04-06-2025","24,620.20","24,560.45","24,644.25","24,530.45","280.86M","0.32%"
"03-06-2025","24,542.50","24,786.30","24,845.10","24,502.15","349.29M","-0.70%"
"02-06-2025","24,716.60","24,669.70","24,754.40","24,526.15","311.10M","-0.14%"
"30-05-2025","24,750.70","24,812.60","24,863.95","24,717.40","853.89M","-0.33%"
"29-05-2025","24,833.60","24,825.10","24,892.60","24,677.30","345.37M","0.33%"
"28-05-2025","24,752.45","24,832.50","24,864.25","24,737.05","684.43M","-0.30%"
"27-05-2025","24,826.20","24,956.65","25,062.90","24,704.10","525.65M","-0.70%"
"26-05-2025","25,001.15","24,919.35","25,079.20","24,900.50","302.80M","0.60%"
"23-05-2025","24,853.15","24,639.50","24,909.05","24,614.05","270.47M","0.99%"
"22-05-2025","24,609.70","24,733.95","24,737.50","24,462.40","403.28M","-0.82%"
"21-05-2025","24,813.45","24,744.25","24,946.20","24,685.35","332.72M","0.52%"
"20-05-2025","24,683.90","24,996.20","25,010.35","24,669.70","414.80M","-1.05%"
"19-05-2025","24,945.45","25,005.35","25,062.95","24,916.65","255.25M","-0.30%"
"16-05-2025","25,019.80","25,064.65","25,070.00","24,953.05","432.72M","-0.17%"
"15-05-2025","25,062.10","24,694.45","25,116.25","24,494.45","500.82M","1.60%"
"14-05-2025","24,666.90","24,613.80","24,767.55","24,535.55","345.49M","0.36%"
"13-05-2025","24,578.35","24,864.05","24,973.80","24,547.50","422.98M","-1.39%"
"12-05-2025","24,924.70","24,420.10","24,944.80","24,378.85","368.71M","3.82%"
"09-05-2025","24,008.00","23,935.75","24,164.25","23,935.75","335.55M","-1.10%"
"08-05-2025","24,273.80","24,431.50","24,447.25","24,150.20","411.36M","-0.58%"
"07-05-2025","24,414.40","24,233.30","24,449.60","24,220.00","330.14M","0.14%"
"06-05-2025","24,379.60","24,500.75","24,509.65","24,331.80","302.35M","-0.33%"
"05-05-2025","24,461.15","24,419.50","24,526.40","24,400.65","291.47M","0.47%"
"02-05-2025","24,346.70","24,311.90","24,589.15","24,238.50","421.11M","0.05%"
"30-04-2025","24,334.20","24,342.05","24,396.15","24,198.75","424.45M","-0.01%"
"29-04-2025","24,335.95","24,370.70","24,457.65","24,290.75","357.56M","0.03%"
"28-04-2025","24,328.50","24,070.25","24,355.10","24,054.05","320.47M","1.20%"
"25-04-2025","24,039.35","24,289.00","24,365.45","23,847.85","387.74M","-0.86%"
"24-04-2025","24,246.70","24,277.90","24,347.85","24,216.15","358.77M","-0.34%"
"23-04-2025","24,328.95","24,357.60","24,359.30","24,119.95","415.04M","0.67%"
"22-04-2025","24,167.25","24,185.40","24,242.60","24,072.00","440.94M","0.17%"
"21-04-2025","24,125.55","23,949.15","24,189.55","23,903.65","406.15M","1.15%"
"17-04-2025","23,851.65","23,401.85","23,872.35","23,298.55","505.33M","1.77%"
"16-04-2025","23,437.20","23,344.10","23,452.20","23,273.05","348.42M","0.47%"
"15-04-2025","23,328.55","23,368.35","23,368.35","23,207.00","388.32M","2.19%"
"11-04-2025","22,828.55","22,695.40","22,923.90","22,695.40","402.16M","1.92%"
"09-04-2025","22,399.15","22,460.30","22,468.70","22,353.25","383.82M","-0.61%"
"08-04-2025","22,535.85","22,446.75","22,697.20","22,270.85","468.25M","1.69%"
"07-04-2025","22,161.60","21,758.40","22,254.00","21,743.65","647.11M","-3.24%"
"04-04-2025","22,904.45","23,190.40","23,214.70","22,857.45","466.78M","-1.49%"
"03-04-2025","23,250.10","23,150.30","23,306.50","23,145.80","283.20M","-0.35%"
"02-04-2025","23,332.35","23,192.60","23,350.00","23,158.45","340.97M","0.72%"
